apr 1.7.6-2
mingw-w64-x86_64-libunistring 1.4.2-1
mingw-w64-x86_64-libwinpthread 14.0.0.r150.g6b5798fd4-1
mingw-w64-x86_64-libzip 1.11.4-1
mingw-w64-x86_64-nettle 3.10.2-1
mingw-w64-x86_64-nghttp2 1.69.0-1
mingw-w64-x86_64-odt2txt 0.5-4
mingw-w64-x86_64-openssl 3.5.7-1
mingw-w64-x86_64-p11-kit 0.26.2-1
mingw-w64-x86_64-pcre2 10.47-1
mingw-w64-x86_64-tcl 8.6.18-1
mingw-w64-x86_64-tk 8.6.18-1
mingw-w64-x86_64-tzdata 2026b-1
mingw-w64-x86_64-wineditline 2.208-1
mingw-w64-x86_64-wintoast 1.0.0.275.a44fa02-1
mingw-w64-x86_64-xz 5.8.3-1
mingw-w64-x86_64-zlib 1.3.2-2
mingw-w64-x86_64-zstd 1.5.7-2
mintty 1~3.8.3-1
mpfr 4.2.2-1
msys2-runtime 3.6.9-2
nano 9.1-1
ncurses 6.6-2
nettle 4.0-1
openssh 10.3p1-1
openssl 3.5.7-1
p11-kit 0.26.2-1
patch 2.7.6-3
perl 5.42.2-1
perl-Authen-SASL 2.2000-1
perl-Clone 0.50-2
perl-Convert-BinHex 1.125-2
perl-Encode-Locale 1.05-2
perl-Error 0.17030-1
perl-File-Listing 6.16-1
perl-HTML-Parser 3.85-1
perl-HTML-Tagset 3.24-1
perl-HTTP-Cookies 6.11-1
perl-HTTP-Daemon 6.17-1
perl-HTTP-Date 6.07-1
perl-HTTP-Message 7.02-1
perl-HTTP-Negotiate 6.01-3
perl-IO-HTML 1.004-2
perl-IO-Socket-SSL 2.099-1
perl-IO-Stringy 2.113-3
perl-JSON 4.11-1
perl-LWP-MediaTypes 6.04-2
perl-MIME-tools 5.517-1
perl-MailTools 2.22-1
perl-Net-HTTP 6.24-1
perl-Net-SMTP-SSL 1.04-2
perl-Net-SSLeay 1.96-1
perl-TermReadKey 2.38-8
perl-TimeDate 2.35-1
perl-Try-Tiny 0.32-1
perl-URI 5.35-1
perl-WWW-RobotRules 6.03-1
perl-http-cookiejar 0.014-1
perl-libwww 6.83-2
pinentry 1.3.2-1
sed 4.9-1
bash 5.3.015-1
ssh-pageant 1.4.r15.gc804ba4-1
subversion 1.14.5-3
tar 1.35-3
tig 2.6.1-1
unzip 6.0-3
vim 9.2.0725-1
which 2.25-1
winpty 0.4.3-3
zlib 1.3.2-1
filesystem 2026.03.06-1
dash 0.5.13.4-1
rebase 4.5.0-5
util-linux 2.40.2-2
unzip 6.0-3
mingw-w64-x86_64-xpdf-tools 4.06-1
